accuracy,execution_time,memory_usage,precision,recall,f1_score,algorithm,dataset
0.8666666666666667,0.7122700214385986,564822016,0.8695652173913043,0.8,0.8333333333333333,mlp,dataset_2_150_value.csv
0.9083333333333333,2.610769033432007,578994176,0.9206349206349206,0.90625,0.9133858267716536,mlp,dataset_2_300_value.csv
0.9277777777777778,5.703374147415161,580173824,0.9302325581395349,0.9195402298850575,0.9248554913294798,mlp,dataset_2_450_value.csv
0.9291666666666667,6.196439981460571,476528640,0.9576271186440678,0.904,0.9300411522633746,mlp,dataset_2_600_value.csv
0.94,12.08800983428955,383975424,0.9605263157894737,0.9240506329113924,0.9419354838709677,mlp,dataset_2_750_value.csv
0.95,14.669526815414429,31784960,0.9261363636363636,0.9702380952380952,0.9476744186046512,mlp,dataset_2_900_value.csv
0.9452380952380952,8.390953063964844,420184064,0.9674418604651163,0.9285714285714286,0.9476082004555809,mlp,dataset_2_1050_value.csv
0.9645833333333333,11.412942886352539,434585600,0.9629629629629629,0.9669421487603306,0.9649484536082474,mlp,dataset_2_1200_value.csv
0.9592592592592593,10.5344078540802,456736768,0.9508196721311475,0.9586776859504132,0.9547325102880658,mlp,dataset_2_1350_value.csv
0.9533333333333334,7.108549118041992,480149504,0.975,0.9285714285714286,0.951219512195122,mlp,dataset_2_1500_value.csv
0.8666666666666667,1.4324240684509277,523075584,0.8695652173913043,0.8,0.8333333333333333,mlp,dataset_3_150_value.csv
0.8916666666666667,4.5661492347717285,201228288,0.9180327868852459,0.875,0.8959999999999999,mlp,dataset_3_300_value.csv
0.9722222222222222,12.3696129322052,470319104,0.9659090909090909,0.9770114942528736,0.9714285714285714,mlp,dataset_3_450_value.csv
0.9625,12.19611406326294,518553600,0.967741935483871,0.96,0.963855421686747,mlp,dataset_3_600_value.csv
0.98,15.409207105636597,333217792,0.975,0.9873417721518988,0.9811320754716981,mlp,dataset_3_750_value.csv
0.9694444444444444,9.933686017990112,182403072,0.953757225433526,0.9821428571428571,0.9677419354838709,mlp,dataset_3_900_value.csv
0.9666666666666667,9.945224046707153,337936384,0.981651376146789,0.9553571428571429,0.9683257918552036,mlp,dataset_3_1050_value.csv
0.975,10.301992893218994,181190656,0.9713114754098361,0.9793388429752066,0.9753086419753086,mlp,dataset_3_1200_value.csv
0.975925925925926,14.043726921081543,28917760,0.9673469387755103,0.9793388429752066,0.9733059548254621,mlp,dataset_3_1350_value.csv
0.9783333333333334,16.276339054107666,106201088,0.9667774086378738,0.9897959183673469,0.9781512605042015,mlp,dataset_3_1500_value.csv
0.9,2.2255990505218506,371146752,0.8275862068965517,0.96,0.888888888888889,mlp,dataset_4_150_value.csv
0.9666666666666667,3.771010160446167,514621440,0.96875,0.96875,0.96875,mlp,dataset_4_300_value.csv
0.95,11.67604398727417,347291648,0.9534883720930233,0.9425287356321839,0.9479768786127168,mlp,dataset_4_450_value.csv
0.9583333333333334,6.0299153327941895,557989888,0.952755905511811,0.968,0.9603174603174602,mlp,dataset_4_600_value.csv
0.9566666666666667,9.49266004562378,327811072,0.9503105590062112,0.9683544303797469,0.9592476489028213,mlp,dataset_4_750_value.csv
0.9305555555555556,11.159195899963379,382500864,0.8907103825136612,0.9702380952380952,0.9287749287749287,mlp,dataset_4_900_value.csv
0.9333333333333333,14.426500082015991,595329024,0.9298245614035088,0.9464285714285714,0.9380530973451328,mlp,dataset_4_1050_value.csv
0.9333333333333333,19.610183000564575,326287360,0.9233870967741935,0.9462809917355371,0.9346938775510204,mlp,dataset_4_1200_value.csv
0.9351851851851852,14.201857089996338,190775296,0.9156626506024096,0.9421487603305785,0.9287169042769857,mlp,dataset_4_1350_value.csv
0.9583333333333334,25.75903296470642,89391104,0.9621993127147767,0.9523809523809523,0.9572649572649573,mlp,dataset_4_1500_value.csv
0.9333333333333333,0.8488860130310059,511574016,0.8620689655172413,1.0,0.9259259259259259,mlp,dataset_5_150_value.csv
0.9583333333333334,10.463397026062012,564445184,0.9538461538461539,0.96875,0.9612403100775193,mlp,dataset_5_300_value.csv
0.9777777777777777,9.083964824676514,586776576,0.9662921348314607,0.9885057471264368,0.9772727272727273,mlp,dataset_5_450_value.csv
0.9541666666666667,14.28669810295105,488308736,0.9453125,0.968,0.9565217391304348,mlp,dataset_5_600_value.csv
0.9666666666666667,11.698362827301025,423755776,0.9805194805194806,0.9556962025316456,0.967948717948718,mlp,dataset_5_750_value.csv
0.9638888888888889,16.505221128463745,478609408,0.9378531073446328,0.9880952380952381,0.9623188405797102,mlp,dataset_5_900_value.csv
0.9642857142857143,14.123253107070923,474103808,0.9644444444444444,0.96875,0.9665924276169264,mlp,dataset_5_1050_value.csv
0.9625,12.162318229675293,473448448,0.9666666666666667,0.9586776859504132,0.9626556016597511,mlp,dataset_5_1200_value.csv
0.9833333333333333,15.798488140106201,433897472,0.9957446808510638,0.9669421487603306,0.9811320754716981,mlp,dataset_5_1350_value.csv
0.975,19.97886323928833,354992128,0.9826989619377162,0.9659863945578231,0.9742710120068611,mlp,dataset_5_1500_value.csv
1.0,0.05476188659667969,552435712,1.0,1.0,1.0,ada,dataset_1_150_value.csv
0.9833333333333333,0.057653188705444336,578912256,1.0,0.96875,0.9841269841269841,ada,dataset_1_300_value.csv
1.0,0.06342697143554688,663584768,1.0,1.0,1.0,ada,dataset_1_450_value.csv
0.975,0.07591700553894043,603258880,1.0,0.952,0.9754098360655737,ada,dataset_1_600_value.csv
0.9766666666666667,0.08161091804504395,655245312,0.9748427672955975,0.9810126582278481,0.9779179810725552,ada,dataset_1_750_value.csv
0.9694444444444444,0.0862421989440918,713654272,0.9815950920245399,0.9523809523809523,0.9667673716012085,ada,dataset_1_900_value.csv
0.9595238095238096,0.09539675712585449,706543616,0.9641255605381166,0.9598214285714286,0.9619686800894854,ada,dataset_1_1050_value.csv
0.975,0.10252904891967773,729759744,0.9914529914529915,0.9586776859504132,0.9747899159663866,ada,dataset_1_1200_value.csv
