"No.","Time","Source","Destination","Protocol","Length","Info"
"981","57.949065943","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [ACK] Seq=979 Ack=1115 Win=65535 Len=0"
"982","57.953870064","142.250.207.6","192.168.56.105","TLSv1.3","93","Application Data"
"983","57.953870387","172.217.175.34","192.168.56.105","TLSv1.3","93","Application Data"
"984","57.954617434","192.168.56.105","142.250.207.6","TCP","60","49332  >  443 [ACK] Seq=1115 Ack=1018 Win=63910 Len=0"
"985","57.954617841","192.168.56.105","172.217.175.34","TCP","60","37666  >  443 [ACK] Seq=1120 Ack=1018 Win=63910 Len=0"
"986","61.515463497","192.168.56.105","34.107.221.82","TCP","60","[TCP Keep-Alive] 53744  >  80 [ACK] Seq=591 Ack=433 Win=64024 Len=0"
"987","61.519049215","34.107.221.82","192.168.56.105","TCP","60","[TCP Keep-Alive ACK] 80  >  53744 [ACK] Seq=433 Ack=592 Win=65535 Len=0"
"988","63.953401269","192.168.56.105","172.217.175.34","TLSv1.3","93","Application Data"
"989","63.953401731","192.168.56.105","142.250.207.6","TLSv1.3","93","Application Data"
"990","63.958507096","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [ACK] Seq=1018 Ack=1159 Win=65535 Len=0"
"991","63.958508054","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [ACK] Seq=1018 Ack=1154 Win=65535 Len=0"
"992","63.961952926","172.217.175.34","192.168.56.105","TLSv1.3","107","Application Data"
"993","63.961953258","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [FIN, ACK] Seq=1071 Ack=1159 Win=65535 Len=0"
"994","63.962346814","192.168.56.105","172.217.175.34","TCP","60","37666  >  443 [ACK] Seq=1159 Ack=1071 Win=63910 Len=0"
"995","63.963895244","192.168.56.105","172.217.175.34","TLSv1.3","93","Application Data"
"996","63.964658328","192.168.56.105","172.217.175.34","TLSv1.3","78","Application Data"
"997","63.966993743","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [ACK] Seq=1072 Ack=1198 Win=65535 Len=0"
"998","63.966994545","172.217.175.34","192.168.56.105","TCP","60","443  >  37666 [ACK] Seq=1072 Ack=1223 Win=65535 Len=0"
"999","63.968148345","142.250.207.6","192.168.56.105","TLSv1.3","107","Application Data"
"1000","63.968148692","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [FIN, ACK] Seq=1071 Ack=1154 Win=65535 Len=0"
"1001","63.968900102","192.168.56.105","142.250.207.6","TCP","60","49332  >  443 [ACK] Seq=1154 Ack=1071 Win=63910 Len=0"
"1002","63.968900311","192.168.56.105","142.250.207.6","TLSv1.3","93","Application Data"
"1003","63.968900389","192.168.56.105","142.250.207.6","TLSv1.3","78","Application Data"
"1004","63.970323635","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [ACK] Seq=1072 Ack=1193 Win=65535 Len=0"
"1005","63.970951079","142.250.207.6","192.168.56.105","TCP","60","443  >  49332 [ACK] Seq=1072 Ack=1218 Win=65535 Len=0"
"1006","69.202741879","PcsCompu_ba:b4:39","PcsCompu_51:eb:8f","ARP","60","Who has 192.168.56.105? Tell 192.168.56.100"
"1007","69.203186228","PcsCompu_51:eb:8f","PcsCompu_ba:b4:39","ARP","60","192.168.56.105 is at 08:00:27:51:eb:8f"
"1008","71.836357474","192.168.56.105","34.107.221.82","TCP","60","[TCP Keep-Alive] 53744  >  80 [ACK] Seq=591 Ack=433 Win=64024 Len=0"
"1009","71.836357892","34.107.221.82","192.168.56.105","TCP","60","[TCP Keep-Alive ACK] 80  >  53744 [ACK] Seq=433 Ack=592 Win=65535 Len=0"
"1010","81.437571193","192.168.56.105","142.251.42.206","QUIC","1399","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"1011","81.437571577","192.168.56.105","142.251.42.206","QUIC","1399","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"1012","81.437571619","192.168.56.105","142.251.42.206","QUIC","1151","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"1013","81.445494785","142.251.42.206","192.168.56.105","QUIC","68","Protected Payload (KP0), DCID=7096a5"
"1014","81.449710752","142.251.42.206","192.168.56.105","QUIC","72","Protected Payload (KP0), DCID=7096a5"
"1015","81.470796176","192.168.56.105","142.251.42.206","QUIC","74","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"1016","81.495331525","142.251.42.206","192.168.56.105","QUIC","220","Protected Payload (KP0), DCID=7096a5"
"1017","81.495331957","142.251.42.206","192.168.56.105","QUIC","218","Protected Payload (KP0), DCID=7096a5"
"1018","81.498180670","192.168.56.105","142.251.42.206","QUIC","79","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"1019","81.534555535","142.251.42.206","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=7096a5"
"1020","82.019287223","192.168.56.105","34.107.221.82","TCP","60","[TCP Keep-Alive] 53744  >  80 [ACK] Seq=591 Ack=433 Win=64024 Len=0"
"1021","82.021238392","34.107.221.82","192.168.56.105","TCP","60","[TCP Keep-Alive ACK] 80  >  53744 [ACK] Seq=433 Ack=592 Win=65535 Len=0"
